TOPIC,YOUTUBE LINK,PLAYLISTS
Lecture 14.5: Probability Example,https://youtu.be/DaAUzsssVLA,
Lecture 15.1: Probability & Sampling,https://youtu.be/VNeKoGu6T2A,
Lecture 15.2: Sampling,https://youtu.be/YUA7fcT9sXU,
Lecture 15.3: Distributions,https://youtu.be/f7z8QSovv10,
Lecture 15.4: Large Random Samples,https://youtu.be/z6tlWBbhEGM,
Lecture 15.5: Simulation,https://youtu.be/bZAH45VowH0,
Lecture 15.6: Statistics,https://youtu.be/6FLXlYSa8NY,
Lecture 16.1: Assessing Models,https://youtu.be/wJ9Eov9Mdf0,
Lecture 16.2: A Model about Random Selection,https://youtu.be/OreWRDOb9fg,
Lecture 16.3: A Genetic Model,https://youtu.be/OI4x1i_0kPU,
Lecture 16.4: Example,https://youtu.be/ybDvLbRR4UA,
Lecture 17.1: Introduction,https://youtu.be/-FppaIdE0sY,
Lecture 17.2: Total Variation Distance,https://youtu.be/4fBN_xShzes,
Lecture 17.3: Assessment,https://youtu.be/LVpwt9Bi3c8,
Lecture 17.4: Summary,https://youtu.be/g7dyCeCZY4o,
Lecture 18.1: Introduction and Terminology,https://youtu.be/cJDmLNGsqVI,
Lecture 18.2: Performing a Test,https://youtu.be/6InFSuRbwi4,
Lecture 18.3: Statistical Significance,https://youtu.be/8bUrCMzKl2s,
Lecture 18.4: An Error Probability,https://youtu.be/IzL70hSdQS0,
Lecture 18.5: Origin of the Conventions,https://youtu.be/EeSRmYnY3fM,
Lecture 19.1: Introduction,https://youtu.be/wtj1Whiut60,
Lecture 19.2: Hypothesis and Statistic,https://youtu.be/tR4XBhAvtD8,
Lecture 19.3: Performing the Test,https://youtu.be/2xn48Vql1dQ,
Lecture 19.4: Deflategate Introduction,https://youtu.be/5et2jH5LHcc,
Lecture 19.5: Deflategate Testing,https://youtu.be/CxUeGgLXMOc,
Lecture 20.1: Introduction,https://youtu.be/uZXP5FbPhJ4,
Lecture 20.2: Hypothesis,https://youtu.be/aZJMCvnHdIc,
Lecture 20.3: Test Statistic,https://youtu.be/fLcT5gOO0P4,
Lecture 20.4: Performing a Test,https://youtu.be/dO9Id6agAt0,
Lecture 21.1: Percentiles,https://youtu.be/MhP23zg47yY,
Lecture 21.2: Estimation,https://youtu.be/JvuPIX8n2Lc,
Lecture 21.3: Estimate Variability,https://youtu.be/UH6fXRruu0Q,
Lecture 21.4: The Bootstrap,https://youtu.be/N-n27tX-pbU,
Lecture 22.1: Applying the Bootstrap,https://youtu.be/fx8R_TjjWyU,
Lecture 22.2: Confidence Interval Pitfalls,https://youtu.be/eTxVMADJfmQ,
Lecture 22.3: Confidence Interval Tests,https://youtu.be/94_M7SwFGTc,
Lecture 23.1: Introduction,https://youtu.be/ts2_qYrpreo,
Lecture 23.2: Average and Median,https://youtu.be/xmQ7nt2BmS0,
Lecture 23.3: Standard Deviation,https://youtu.be/05L4UQ6V3rE,
Lecture 23.4: Chebyshev's Bounds,https://youtu.be/PAmOpjJ3u0w,
Lecture 24.1: Standard Units,https://youtu.be/x1FSOCH4KGg,
Lecture 24.2: SD and Bell Curves,https://youtu.be/E3G60vyCimI,
Lecture 24.3: Normal Distribution,https://youtu.be/CCFSLbGSc0k,
Lecture 24.4: Central Limit Theorem,https://youtu.be/8uikiqMbQTk,
Lecture 25.1: Visualization,https://youtu.be/k9-rzXYH11Q,
Lecture 25.2 Calculation,https://youtu.be/uBN0NyAb8GU,
Lecture 25.3 Interpretation,https://youtu.be/-n8LgiYXoXU,
Lecture 26.1: Prediction,https://youtu.be/ojod4DTcFdA,
Lecture 26.2: Linear Regression,https://youtu.be/DS95QoflalM,
Lecture 26.3: Regression to the Mean,https://youtu.be/1-5HJ4cGhBI,
Lecture 26.4: Regression Equation,https://youtu.be/0FR1WREFMb4,
Lecture 26.5: Interpreting the Slope,https://youtu.be/Vf2f50AHPGc,
Lecture 27.1: Linear Regression Review,https://youtu.be/ulaZnIg2lEs,
Lecture 27.2: Discussion Question,https://youtu.be/fTA-mzrvacI,
Lecture 27.3: Squared Error,https://youtu.be/BuTMV2r89Gc,
Lecture 27.4: Least Squares,https://youtu.be/uBaIf9B3BCQ,
Lecture 28.1: Introduction,https://youtu.be/JlYcyQaxltc,
Lecture 28.2: Regression Diagnostics,https://youtu.be/CiSYeEO-CBs,
Lecture 28.3: Properties of Residuals,https://youtu.be/X7DLRL7JzMM,
Lecture 28.4: Discussion Question,https://youtu.be/vYQ2EWvySV0,
Lecture 29.1: Regression Model,https://youtu.be/aUsYPrGwdhU,
Lecture 29.2: Prediction Variability,https://youtu.be/SHWRa8-86ks,
Lecture 29.3: The True Slope,https://youtu.be/4Qa1uDn-uHU,
Lecture 30.1: Introduction,https://youtu.be/D_E4b0QG_fY,
Lecture 30.2: Nearest Neighbor,https://youtu.be/AqOPmNjjA6A,
Lecture 30.3: Examples,https://youtu.be/eHdDpemodVc,
Lecture 31.1: Terminology,https://youtu.be/-7haErHby0U,
Lecture 31.2: Dataset,https://youtu.be/fpBy5ckZFCA,
Lecture 31.3: Distance,https://youtu.be/R-08BgOxtsI,
Lecture 31.4: Nearest Neighbors,https://youtu.be/l7m4stmyncA,
Lecture 31.5: Evaluation,https://youtu.be/_Y3-ZItTs3M,
Lecture 31.6: Decision Boundaries,https://youtu.be/ctSif908tFI,
Lecture 32.1: Examples,https://youtu.be/8hK6l9Ky2fI,
Lecture 32.2: Meaning,https://youtu.be/I0ksXPao6UA,
Lecture 32.3: Case Study,https://youtu.be/bYF6a6N1Ac0,
Lecture 32.4: Inferences,https://youtu.be/it8qFBvSy8A,
Lecture 32.5: Implications,https://youtu.be/vmb6MIlA9j0,
Lecture 33.1: Introduction,https://youtu.be/1tIOyFog0x0,
Lecture 33.2: Visualize,https://youtu.be/1JGx2ci2MYg,
Lecture 33.3: Regression,https://youtu.be/LE5fMT2u2LQ,
Lecture 33.4: Prediction,https://youtu.be/ijWAh68S4Zc,
Lecture 33.5: Association,https://youtu.be/5MtIZiwVHv0,
Lecture 33.6: Confidence,https://youtu.be/nqS_H2sGvEU,
Lecture 33.7: Conclusion,https://youtu.be/Vi3sqsPZjfo,
